0=>20	-0.292419:-0.247095:0.842049
897=>20	0.5253562108056686:-0.019499491840429074:0.4642846696452076
898=>423	-0.04099304193870984:-0.3571291174068356:1.0071010696420462
901=>20	-0.3490235021516055:-0.5028798411122145:0.7698051623134186
927=>20	0.7992925092736628:-0.7972142448778801:0.8309733689654714
933=>20	0.017616151852444212:-0.3701522058428103:0.6984162015796778
942=>20	0.66610643093021:-0.06739590432377683:0.6496742208619487
967=>20	-0.23637140548949437:0.057578934015235984:0.8345740667792786
971=>20	0.28581674630538084:0.09415469646415818:0.7318613649653574
978=>20	0.2965520934111515:-0.004292371212360152:0.7334879036842364
979=>20	-0.17886887405600074:-0.8414739140252016:0.8122170438873357
991=>423	0.37913689376795967:0.08896592543509896:0.6045770107173366
995=>423	1.0435051806319524:-0.889842354957465:0.797879555293851
1004=>423	0.1712102583827153:-0.15243824414394122:0.7483063955502708
1005=>20	-0.739805963482758:-1.2674803645452382:0.8475430996854768
